episode,episode_reward,batch_reward,epsilon
495,300.176301913,102.429061667,0.1
496,302.174420653,102.272902323,0.1
497,-174.127113769,97.5571912638,0.1
498,84.9158195615,95.057385933,0.1
499,-178.393316634,90.6873158312,0.1
500,-325.15140428,86.9547883916,0.1
501,-120.023589088,84.2720423764,0.1
502,35.2235610796,82.5561597275,0.1
503,266.014939575,84.8132482343,0.1
504,-11.7090844882,83.4741400737,0.1
505,-345.111567882,77.1064193454,0.1
506,56.9398470968,77.0431671152,0.1
507,-112.490909576,74.7352567109,0.1
508,109.366172352,73.0428157726,0.1
509,-414.952395148,67.9794966273,0.1
510,85.7373400231,68.0835242932,0.1
511,-63.6815570173,64.3396389904,0.1
512,78.294600063,62.1941941477,0.1
513,-320.690869612,55.6657344231,0.1
514,-426.780749521,48.121387355,0.1
515,105.712891474,45.6672595966,0.1
516,277.74523027,45.3019553675,0.1
517,276.003355627,44.9112799328,0.1
518,-196.915273125,40.1564582237,0.1
519,149.976257765,38.202233395,0.1
520,-28.7729746482,34.9934309311,0.1
521,122.381691719,33.2871972723,0.1
522,332.600188369,36.3914492161,0.1
523,298.722313913,37.8370714832,0.1
524,319.591765244,37.9058256557,0.1
525,324.31041405,37.8373331816,0.1
526,342.67721397,39.4311639962,0.1
527,264.499776786,42.5934617762,0.1
528,-346.115740227,38.1343398838,0.1
529,68.7582153247,35.4824995924,0.1
